"","code","focus_type","country","region","province","livestock_region","international_region","municipality","uvl","disease","n_affected_species","serotype","species","susceptible","affected","confirmation_date","outbreak_n","index","outbreak_id"
"11298","2007/3009","Secundario","España","EXTREMADURA","CÁCERES","CORIA",NA,"Villa del Campo","Badajoz","Bluetongue",1,"","Ovinos","332","6",2007-11-26,1,11298,"2007/3009_1"
"11299","2007/3008","Secundario","España","EXTREMADURA","CÁCERES","CORIA",NA,"Villa del Campo","Badajoz","Bluetongue",1,"","Ovinos","387","9",2007-11-26,1,11299,"2007/3008_1"
"11300","2007/3007","Secundario","España","EXTREMADURA","CÁCERES","CORIA",NA,"Villa del Campo","Badajoz","Bluetongue",1,"","Ovinos","327","5",2007-11-26,1,11300,"2007/3007_1"
"11301","2007/3006","Secundario","España","EXTREMADURA","CÁCERES","CORIA",NA,"Torrejoncillo","Badajoz","Bluetongue",1,"","Ovinos","232","30",2007-11-26,1,11301,"2007/3006_1"
"11302","2007/3005","Secundario","España","EXTREMADURA","CÁCERES","CORIA",NA,"Riolobos","Badajoz","Bluetongue",1,"","Ovinos","326","2",2007-11-26,1,11302,"2007/3005_1"
"11303","2007/3004","Secundario","España","EXTREMADURA","CÁCERES","CORIA",NA,"Riolobos","Badajoz","Bluetongue",1,"","Ovinos","450","3",2007-11-26,1,11303,"2007/3004_1"
"11304","2007/3003","Secundario","España","EXTREMADURA","CÁCERES","CORIA",NA,"Riolobos","Badajoz","Bluetongue",1,"","Ovinos","520","7",2007-11-26,1,11304,"2007/3003_1"
"11305","2007/3002","Secundario","España","EXTREMADURA","CÁCERES","CORIA",NA,"Riolobos","Badajoz","Bluetongue",1,"","Ovinos","128","6",2007-11-26,1,11305,"2007/3002_1"
"11306","2007/3001","Secundario","España","EXTREMADURA","CÁCERES","CORIA",NA,"Riolobos","Badajoz","Bluetongue",1,"","Ovinos","105","20",2007-11-26,1,11306,"2007/3001_1"
"11307","2007/3000","Secundario","España","EXTREMADURA","CÁCERES","CORIA",NA,"Pozuelo de Zarzón","Badajoz","Bluetongue",1,"","Ovinos","418","7",2007-11-26,1,11307,"2007/3000_1"
"11308","2007/2999","Secundario","España","EXTREMADURA","CÁCERES","CORIA",NA,"Pozuelo de Zarzón","Badajoz","Bluetongue",1,"","Ovinos","255","7",2007-11-26,1,11308,"2007/2999_1"
"11309","2007/2998","Secundario","España","EXTREMADURA","CÁCERES","CORIA",NA,"Pedroso de Acim","Badajoz","Bluetongue",1,"","Ovinos","464","30",2007-11-26,1,11309,"2007/2998_1"
"11310","2007/2997","Secundario","España","EXTREMADURA","CÁCERES","CORIA",NA,"Pedroso de Acim","Badajoz","Bluetongue",1,"","Ovinos","1549","10",2007-11-26,1,11310,"2007/2997_1"
